timestamp,cpu,disk,netpacket,RAM
09-06-2023 00:01,4.452019006,14.97468354,344.9,16.27894873
09-06-2023 00:10,4.537961436,13.15057915,216.5,16.69264489
09-06-2023 00:20,3.875359021,15.99331104,83.8,15.93731037
09-06-2023 00:30,4.189654742,10.70722433,203.6,16.25836919
09-06-2023 00:40,5.256453162,11.27666667,997.1,16.76240432
09-06-2023 00:50,4.398146017,12.84868421,141.9,16.05880694
09-06-2023 01:01,4.687671407,18.63451777,384,16.1826257
09-06-2023 01:10,4.464758032,14.37590361,195.6,15.15380848
09-06-2023 01:20,4.54648119,13.89938398,327.7,16.18446551
09-06-2023 01:30,4.905274778,8.132432432,499.9,16.76978851
09-06-2023 01:40,4.570578741,12.24793388,342.7,15.68070707
09-06-2023 01:50,4.547541073,14.1827957,349.4,16.85803296
09-06-2023 02:01,4.642465971,15.3796034,454,17.09517107
09-06-2023 02:10,5.367843429,10.74349442,1042.5,16.95530406
09-06-2023 02:20,4.780802755,10.99428571,438.4,16.74907993
09-06-2023 02:30,4.510859507,18.78025478,329.7,16.19665366
09-06-2023 02:40,5.265794175,17.05418719,847.9,15.30056563
09-06-2023 02:50,5.05751888,9.793478261,676.9,16.93475215
09-06-2023 03:01,4.876722877,13.29945055,229.1,16.97794702
09-06-2023 03:10,4.737951297,7.07480315,375.4,16.88367273
09-06-2023 03:20,4.216562195,12.34782609,87.3,16.71636311
09-06-2023 03:30,4.375757022,11.95961228,261.7,16.73134185
09-06-2023 03:40,4.410371108,13.00510204,113.2,16.04394849
09-06-2023 03:50,4.96284463,6.394678492,574.5,16.67036392
09-06-2023 04:00,4.239886868,13.0031746,149,16.20456815
09-06-2023 04:10,5.029129877,14.7329932,776.3,16.44478585
09-06-2023 04:20,4.005513349,11.92932862,141.3,15.86153902
09-06-2023 04:30,4.840242308,8.119469027,366.1,16.73801847
09-06-2023 04:40,4.683981366,11.5092437,468.6,16.01595711
09-06-2023 04:50,4.521788577,17.76549865,131.7,15.21615501
09-06-2023 05:00,4.26969745,12.09248555,71.1,17.08542767
09-06-2023 05:10,4.627909673,14.80481283,345.6,16.56001059
09-06-2023 05:20,4.436751534,14.76844784,293.3,16.41059753
09-06-2023 05:30,3.875359021,21.75847458,82.1,15.26921122
09-06-2023 05:40,4.016383021,12.91111111,96,15.97364327
